"catModeration","Post Moderation","en","string","Admin"
"catName","Category","en","string","Admin"
"catOrder","Order","en","string","Admin"
"catStatus","Status","en","string","Admin"
"catSubscription","Highest level of Subscription","en","string","Admin"
"chkTopicSelect","Check to select Topic","en","string","Admin"
"delForum","Delete Forum","en","string","Admin"
"delForumErr","Unable to delete Forums that contain posts.","en","string","Admin"
"delTopicErr","Unable to delete topics that have replies.","en","string","Admin"
"forumAddAllow","Add member","en","string","Admin"
"forumAllowed","Allowed Members","en","string","Admin"
"forumAuthType","Allowed access","en","string","Admin"
"forumAvailMods","Available Moderators","en","string","Admin"
"forumCategory","Category","en","string","Admin"
"forumDescription","Description","en","string","Admin"
"forumModeration","Moderation","en","string","Admin"
"forumMods","Moderators","en","string","Admin"
"forumOrder","Order","en","string","Admin"
"forumPollsAuth","Who can create Polls","en","string","Admin"
"forumPostCount","Increment post count","en","string","Admin"
"forumRemAllow","Remove member","en","string","Admin"
"forumSubject","Subject","en","string","Admin"
"forumSubscription","Subscriptions","en","string","Admin"
"forumType","Type","en","string","Admin"
"forumUnavailMods","Assigned Moderators","en","string","Admin"
"forumUsrLook","Type username to find member","en","string","Admin"
"forumView","Default view","en","string","Admin"
"lblOnHold","ON HOLD","en","string","Admin"
"lblUnmoderated","UNMODERATED POST !!!","en","string","Admin"
"SmtpDeliveryMethod_Network","Network","en","string","Admin_Email"
"SmtpDeliveryMethod_PickupDirectoryFromIis","Pickup Folder From IIS","en","string","Admin_Email"
"SmtpDeliveryMethod_SpecifiedPickupDirectory","Specified Folder","en","string","Admin_Email"
"strPostedFrom","-- Posted via {0} --","en","string","Api"
"blogMore","Read more","en","string","BlogPages"
"btnPrintBlog","Print Blog","en","string","BlogPages"
"lblBlog","blog","en","string","BlogPages"
"lblBlogArchive","Blog Archives","en","string","BlogPages"
"lblBlogPosts","Blog Posts","en","string","BlogPages"
"lblBlogReply","Post a Comment","en","string","BlogPages"
"lblComments","Comments","en","string","BlogPages"
"lblNewBlog","New Blog post","en","string","BlogPages"
"lblRateMe","Rate this post","en","string","BlogPages"
"lblTagCloud","Tag Cloud","en","string","BlogPages"
"srchBlog","Search Blog","en","string","BlogPages"
"tipPrintBlog","Print Blog entry","en","string","BlogPages"
"ttlBlog","Blog","en","string","BlogPages"
"DeleteBookmarks","Delete Bookmarks","en","string","Bookmarks"
"DeleteConfirm","Are you sure you want to delete the bookmarks?","en","string","Bookmarks"
"Deleted","Bookmark deleted","en","string","Bookmarks"
"IndexTitle","Bookmarks","en","string","Bookmarks"
"Started","Started","en","string","Bookmarks"
"dlgTitle","Editor Tag Help","en","string","btnHelp"
"hlpBold","Bold Tag makes the enclosed text bold<br />Use: [b]This is some text[/b]<br /><b>This is some text</b>","en","string","btnHelp"
